input_name
เก้าอี้พลาสติกพนักพิง สีน้ำเงิน สีแดง
บอร์ดแขวนผนังกำมะหยี่ กรอบไม้ 60x90cm. ยี่ห้อ One ขอบไม้แท้
"เก้าอี้โครงเหล็กชุบโครเมี่ยม หุ้มหนัง, W44xD50xH87 cm."
กระดานไวท์บอร์ดแขวนผนังธรรมดา 80*120 ซม. / B-8012
"เก้าอี้ขาพ่น (สีฟ้า), W45xD53xH83 cm."
กระดานไวท์บอร์ดขาตั้ง 1 หน้า 90x120 cm. ธรรมดา
เก้าอี้พลาสติกสีน้ำเงินไม่มีแขน กว้าง 48 ลึก 51 สูง 81 ซม. Super ware CH-50
"เก้าอี้กลมสแตนเลส, W29xD29xH47 cm."
ตู้กุญแจ 20 ชุด ก16*8*ส20 ซม. / D-AP-0080
ตู้บานเลื่อนกระจก LUCKY /L-LCG-12110-18 / 120x45x110 cm. สีครีม
"เก้าอี้สำนักงาน ปรับสูงต่ำด้วยโช๊ค PU (สีฟ้า), W58xD62xH84 cm."
"เก้าอี้สำนักงานพนักพิงสูง ปรับสูงต่ำด้วยโช๊ค PU (สีดำ), W64xD68xH99 cm."
"ตู้ล็อกเกอร์ 12 ประตู มีกุญแจล็อคพร้อมสายยู (สีเทาสลับ), W91xD45xH183 cm."
บอร์ดขาตั้ง 1 หน้า ขนาด 200*120cm.
ตู้บานเลื่อนกระจกสูง กว้าง 91 ลึก 45 สูง 183 ซม. สีน้ำเงิน/Lucky Wold/Model KSG-914
"โต๊ะอเนกประสงค์ขาพับ หน้าเมลามีน (สีขาว), W150xD60xH75 cm."
กระดานไวท์บอร์ดแบบตั้งล้อเลื่อน 120*180
โต๊ะ 2 ลิ้นชักขวา ผิวพีวีซี มีคิ้วยางรอบขา สีครีม ขนาด 120*75*75 ซม.
ตู้บานเลื่อนกระจก Furnine (W)88x(L)40.7x(H)88 cm.
โต๊ะขาพับ 120x60x75 cm. F/N หน้าขาว ขาเหล็กพับได้ ชุบโครเมี่ยม
ตู้บานเลื่อนกระจก 4 ฟุต LUCKY 118*40*88 cm. สองแผ่นชั้น สีครีม / L-DG-324-160
แว่นตานิรภัย เลนส์ใส 3M V34
